序号	状态	交易日期	交易方向	业务类型	收入金额	支出金额	滚动余额	摘要	对方名称	流水号	原始摘要	用途
1	正常	20250106	往账	短信收费	0.00	10.00	98902.67	付银行短信服务费		16794681459	SMSP Service Charge	短信收费
2	待确认	20250106	来账	大额支付	5000000.00	0.00	5098902.67	内部资金划转	本公司	140289618457	HVPS103161019106  2025010694801303	
3	待确认	20250106	来账	大额支付	5000000.00	0.00	10098902.67	内部资金划转	本公司	140434016455	HVPS103161019106  2025010691400911	
4	正常	20250106	来账	网上支付	1000000.00	0.00	11098902.67	收阳曲县华洋建款项	阳曲县华洋建筑机械设备租赁部	141242427453	IBPS4021610023522025010657267806	
5	正常	20250106	来账	网上支付	1000000.00	0.00	12098902.67	收阳曲县华洋建款项	阳曲县华洋建筑机械设备租赁部	141363845451	IBPS4021610023522025010657268977	
6	正常	20250106	来账	网上支付	1000000.00	0.00	13098902.67	收阳曲县华洋建款项	阳曲县华洋建筑机械设备租赁部	141496295449	IBPS4021610023522025010657270295	
7	正常	20250106	来账	网上支付	1000000.00	0.00	14098902.67	收阳曲县华洋建款项	阳曲县华洋建筑机械设备租赁部	141639676447	IBPS4021610023522025010657271635	
8	正常	20250106	来账	网上支付	1000000.00	0.00	15098902.67	收阳曲县华洋建款项	阳曲县华洋建筑机械设备租赁部	141777051445	IBPS4021610023522025010657272604	
9	正常	20250107	往账	贷款还款	0.00	15037541.67	61361.00	偿还银行贷款	山西喜跃发道路建设养护集团有限公司	53754749443		
10	正常	20250110	来账	贷款放款	15000000.00	0.00	15061361.00	收到银行贷款放款	山西喜跃发道路建设养护集团有限公司	94409936442		
11	待确认	20250110	往账	大额支付	0.00	15000000.00	61361.00	付山西龙发建材有限公司款项	山西龙发建材有限公司	94477440441	HVPS104161004403  2025011034190196	
12	正常	20250118	来账	小额普通	100000.00	0.00	161361.00	内部资金划转	山西喜跃发道路建设养护集团有限公司	141839760439	BEPS103161019106  2025011863521436	
13	正常	20250120	往账	网上支付	0.00	160000.00	1361.00	内部资金划转	本公司	202916015437	OBSS002367053225GIRO000000000000	
14	正常	20250120	往账	收费	0.00	15.00	1346.00	付银行跨行转账手续费		202916015435	对公跨行转账汇款手续费	
15	正常	20250206	往账	短信收费	0.00	10.00	1336.00	付银行短信服务费		15443856434	SMSP Service Charge	短信收费
16	正常	20250307	往账	短信收费	0.00	10.00	1326.00	付银行短信服务费		14930012432	SMSP Service Charge	短信收费
17	正常	20250312	往账	贷款还款	0.00	1326.00	0.00	偿还银行贷款	山西喜跃发道路建设养护集团有限公司	10377628430		
18	待确认	20250312	来账	大额支付	6500000.00	0.00	6500000.00	内部资金划转	本公司	121699140429	HVPS103161019106  2025031201326341	
19	待确认	20250312	来账	大额支付	3000000.00	0.00	9500000.00	内部资金划转	本公司	143748911427	HVPS103161019106  2025031205627235	
20	待确认	20250312	来账	大额支付	3000000.00	0.00	12500000.00	内部资金划转	本公司	143920367425	HVPS103161019106  2025031202630547	
21	待确认	20250312	来账	大额支付	3000000.00	0.00	15500000.00	内部资金划转	本公司	144069882423	HVPS103161019106  2025031207328807	
22	正常	20250312	往账	贷款还款	0.00	15177549.00	322451.00	偿还银行贷款	山西喜跃发道路建设养护集团有限公司	151466177421		
23	正常	20250313	来账	贷款放款	15000000.00	0.00	15322451.00	收到银行贷款放款	山西喜跃发道路建设养护集团有限公司	197655826420		
24	待确认	20250313	往账	大额支付	0.00	15000000.00	322451.00	付山西龙发建材有限公司款项	山西龙发建材有限公司	197689828419	HVPS104161004403  2025031441833594	
25	正常	20250314	来账	小额普通	500000.00	0.00	822451.00	内部资金划转	山西喜跃发道路建设养护集团有限公司	124783376417	BEPS103161019106  2025031485050500	
26	正常	20250318	往账	网上支付	0.00	820000.00	2451.00	内部资金划转	本公司	62990824415	OBSS002554571796GIRO000000000000	转款
27	正常	20250318	往账	收费	0.00	20.00	2431.00	付银行跨行转账手续费		62990824413	对公跨行转账汇款手续费	
28	正常	20250319	来账	小额普通	300000.00	0.00	302431.00	内部资金划转	山西喜跃发道路建设养护集团有限公司	176954572412	BEPS103749009988  2025032003578723	
29	正常	20250320	来账	结息	64.15	0.00	302495.15	存款利息收入		615081133099		
30	正常	20250321	往账	贷款还款	0.00	16266.67	286228.48	偿还银行贷款	山西喜跃发道路建设养护集团有限公司	27406268409		
31	正常	20250321	往账	贷款还款	0.00	154583.33	131645.15	偿还银行贷款	山西喜跃发道路建设养护集团有限公司	27452610408		
32	正常	20250326	往账	网上支付	0.00	130000.00	1645.15	内部资金划转	本公司	55260736407	OBSS002582790539GIRO000000000000	
33	正常	20250326	往账	收费	0.00	15.00	1630.15	付银行跨行转账手续费		55260736405	对公跨行转账汇款手续费	
34	正常	20250331	来账	网上支付	1000000.00	0.00	1001630.15	收太原市鑫和谐矿款项	太原市鑫和谐矿业有限公司	173620216404	IBPS3131610000092025040100002450	往来款
35	正常	20250401	往账	网上支付	0.00	1000000.00	1630.15	内部资金划转	本公司	62980884402	OBSS002604939682GIRO000000000000	
36	正常	20250401	往账	收费	0.00	20.00	1610.15	付银行跨行转账手续费		62980884400	对公跨行转账汇款手续费	
37	正常	20250406	往账	短信收费	0.00	10.00	1600.15	付银行短信服务费		15700585399	SMSP Service Charge	短信收费
38	正常	20250410	往账	收费	0.00	240.00	1360.15	付银行账户管理费（年费）		20183572397	2025/04/09-2026/04/08	
39	正常	20250506	往账	短信收费	0.00	10.00	1350.15	付银行短信服务费		15897508395	SMSP Service Charge	短信收费
40	正常	20250523	往账	收费	0.00	7.00	1343.15	付银行邮递费		136800096393	邮费-普通、快件、特快	
41	正常	20250523	往账	收费	0.00	200.00	1143.15	付银行询证函及资信证明费		136814658391	询证函、验资证明、开户证明、结算资信证明、结算交易证明	
42	正常	20250523	往账	收费	0.00	7.00	1136.15	付银行邮递费		136817370389	邮费-普通、快件、特快	
43	正常	20250523	往账	收费	0.00	200.00	936.15	付银行询证函及资信证明费		136804566387	询证函、验资证明、开户证明、结算资信证明、结算交易证明	
44	正常	20250523	往账	收费	0.00	7.00	929.15	付银行邮递费		137009315385	邮费-普通、快件、特快	
45	正常	20250523	往账	收费	0.00	200.00	729.15	付银行询证函及资信证明费		137002688383	询证函、验资证明、开户证明、结算资信证明、结算交易证明	
46	正常	20250606	往账	短信收费	0.00	10.00	719.15	付银行短信服务费		16049474381	SMSP Service Charge	短信收费
47	正常	20250620	来账	小额普通	400000.00	0.00	400719.15	内部资金划转	山西喜跃发道路建设养护集团有限公司	137057032379	BEPS103161019106  2025062032908914	
48	正常	20250620	来账	结息	5.41	0.00	400724.56	存款利息收入		615076053099		
49	正常	20250623	往账	贷款还款	0.00	187066.67	213657.89	偿还银行贷款	山西喜跃发道路建设养护集团有限公司	10726567376		
50	正常	20250623	往账	贷款还款	0.00	203166.67	10491.22	偿还银行贷款	山西喜跃发道路建设养护集团有限公司	10921515375